district,village_id,name,subdistrict,tru_2011,nearest_dist_km,covered
rayagada,426957,Bondili,Gudari,Rural,4.244763866588078,Covered
rayagada,426958,Tadilota,Gudari,Rural,4.244763866588078,Covered
rayagada,426898,Lakha Bhata,Gudari,Rural,4.244763866588078,Covered
rayagada,426901,Petakhalu,Gudari,Rural,4.244763866588078,Covered
rayagada,426948,Renga Padar,Gudari,Rural,4.244763866588078,Covered
rayagada,426904,Gamberi,Gudari,Rural,4.244763866588078,Covered
rayagada,426902,Maleti,Gudari,Rural,4.244763866588078,Covered
rayagada,426947,Ledari,Gudari,Rural,4.244763866588078,Covered
rayagada,426903,Gimarao,Gudari,Rural,4.244763866588078,Covered
rayagada,426949,Gabadapadar,Gudari,Rural,4.244763866588078,Covered
rayagada,426953,Pata Kerada,Gudari,Rural,4.244763866588078,Covered
rayagada,426956,Kotili,Gudari,Rural,4.244763866588078,Covered
rayagada,426955,Kepiti,Gudari,Rural,4.244763866588078,Covered
rayagada,426963,Sukadabaju,Gudari,Rural,4.244763866588078,Covered
rayagada,426950,Hendadhepa,Gudari,Rural,4.244763866588078,Covered
rayagada,426951,Mutu Kuni,Gudari,Rural,4.244763866588078,Covered
rayagada,426662,Alubadi,Gunupur,Rural,4.244763866588078,Covered
rayagada,426663,Duruguda,Gunupur,Rural,4.244763866588078,Covered
bargarh,380189,Temri,Melchhamunda,Rural,4.246370986438935,Covered
deogarh,383334,Madhapali,Reamal,Rural,4.247052353827354,Covered
sambalpur,382153,Sahajkhulia,Jujomura,Rural,4.247145154877065,Covered
anugul,404936,Daulatpur,Kiakata,Rural,4.247800351781154,Covered
rayagada,425745,Jodamba,Kashipur,Rural,4.248682855845285,Covered
kalahandi,423003,Katlang,Lanjigarh,Rural,4.248916818541086,Covered
mayurbhanj,387630,Tendirahill Ii,Jamda,Rural,4.24936916718062,Covered
mayurbhanj,391324,Satkosia Forest Cluster,Mahuldiha,Rural,4.252075137033379,Covered
keonjhar,386315,Budhighar,Kanjipani,Rural,4.255252896003695,Covered
koraput,429387,Mantriamba,Boipariguda,Rural,4.255442801108927,Covered
sundargarh,383609,Daghora,Hemgir,Rural,4.255982822436938,Covered
sambalpur,382289,Khubel,Charamal,Rural,4.256433023500661,Covered
boudh,418287,Udbilika,Baunsuni,Rural,4.257133785823106,Covered
dhenkanal,402492,Kandhara,Kankadahad,Rural,4.257243235231846,Covered
kendrapara,395605,Manapur,Rajkanika,Rural,4.257535063875869,Covered
kendrapara,395603,Kanapur Kaema,Rajkanika,Rural,4.257535063875869,Covered
kendrapara,395616,Bangarakuan,Rajkanika,Rural,4.257535063875869,Covered
kendrapara,395615,Gualigan,Rajkanika,Rural,4.257535063875869,Covered
kendrapara,395609,Bahadiha,Rajkanika,Rural,4.257535063875869,Covered
kendrapara,395687,Laxmiprasad Dia,Rajkanika,Rural,4.257535063875869,Covered
sundargarh,385133,Sibnathpur,Banei,Rural,4.259024382346624,Covered
rayagada,426709,Bobeiguda,Gunupur,Rural,4.260339837830366,Covered
koraput,429239,Nuagam,Boipariguda,Rural,4.260371073449831,Covered
sundargarh,384034,Kiralaga,Talasara,Rural,4.260578316546771,Covered
mayurbhanj,387468,Chandri,Tiring,Rural,4.260787972927178,Covered
nabarangpur,427528,Ichhapur,Jharigan,Rural,4.261200025829173,Covered
malkangiri,430533,Dorapadar,Mudulipada,Rural,4.261349502632745,Covered
rayagada,426167,Tureighati,Doraguda,Rural,4.263254377638909,Covered
rayagada,426155,Gadagadajodi,Doraguda,Rural,4.263254377638909,Covered
kandhamal,415406,Panasapadar,Phulabani,Rural,4.263724439170142,Covered
sonepur,419175,Mentakani,Ulunda,Rural,4.2644393420861695,Covered
boudh,418521,Kadamunda,Baudh Sadar,Rural,4.264661338696761,Covered
balangir,420355,Apamara,Tushura,Rural,4.264953094980283,Covered
kendrapara,395977,Kanafulia,Rajnagar,Rural,4.266325729730219,Covered
balangir,420261,Talpali,Balangir,Rural,4.268358020549185,Covered
sonepur,419593,Singhari,Sonapur,Rural,4.268688258787993,Covered
dhenkanal,402770,Chhotatentuli,Gandia,Rural,4.269383428927434,Covered
gajapati,413485,Petakhala,Adava,Rural,4.269744366726307,Covered
malkangiri,430761,Baghapahada,Paparmetla,Rural,4.2700241554480565,Covered
malkangiri,430760,Batankiaguda,Paparmetla,Rural,4.2700241554480565,Covered
malkangiri,430756,Garidibandha,Paparmetla,Rural,4.2700241554480565,Covered
malkangiri,430752,Suapali,Paparmetla,Rural,4.2700241554480565,Covered
kendrapara,395607,Panki,Rajkanika,Rural,4.270218568493111,Covered
koraput,429426,Gurumurtyguda,Boipariguda,Rural,4.270289656891231,Covered
koraput,429389,Dhanibalsa,Boipariguda,Rural,4.270289656891231,Covered
nayagarh,405671,Naikgaon,Banigochha,Rural,4.270908392335199,Covered
nayagarh,405614,Salamendhi,Banigochha,Rural,4.270908392335199,Covered
nayagarh,405672,Burupal,Banigochha,Rural,4.270908392335199,Covered
rayagada,424622,Deraguma,Ambadala,Rural,4.271434188353665,Covered
sundargarh,384006,Sandhapani,Talasara,Rural,4.271979400923119,Covered
nabarangpur,427198,Kaudipara,Raighar,Rural,4.272719586420486,Covered
koraput,429270,Baliguda,Boipariguda,Rural,4.273341045635096,Covered
bargarh,379902,Nityanandapur,Jharbandha,Rural,4.273530337397111,Covered
boudh,417914,Padmapur,Manamunda,Rural,4.274162466648897,Covered
sonepur,419622,Sankadalipali,Tarbha,Rural,4.27425603267958,Covered
anugul,403691,Nilapasi,Rengali Damsite,Rural,4.27524856912557,Covered
sambalpur,382533,Khamanmundanutan,Naktideul,Rural,4.275806956666552,Covered
sambalpur,382422,Kutasingha,Rairakhol,Rural,4.277773004359912,Covered
nuapada,421758,Jhalap,Nuapada,Rural,4.280432950733349,Covered
kandhamal,417472,Kisubadi,Daringbadi,Rural,4.2806046618059375,Covered
kandhamal,417473,Kisubadi A,Daringbadi,Rural,4.2806046618059375,Covered
kandhamal,417482,Budanpipala,Daringbadi,Rural,4.2806046618059375,Covered
kandhamal,417483,Damplu,Daringbadi,Rural,4.2806046618059375,Covered
kandhamal,417520,Slowmaha,Daringbadi,Rural,4.2806046618059375,Covered
baleshwar,393328,Betei,Oupada,Rural,4.282158471718331,Covered
kalahandi,424027,Batiguda,Kokasara,Rural,4.282313743619082,Covered
nayagarh,405680,Karadigada,Banigochha,Rural,4.282408396376591,Covered
nayagarh,405613,Bidapaju,Banigochha,Rural,4.282408396376591,Covered
nayagarh,405681,Bijataila,Banigochha,Rural,4.282408396376591,Covered
kandhamal,417508,Juangia,Daringbadi,Rural,4.2830052904379246,Covered
malkangiri,430557,Anagel,Mudulipada,Rural,4.284531433461183,Covered
balangir,420877,Dhusamunda,Turekela,Rural,4.285537829122023,Covered
koraput,429499,Chandua,Machh Kund,Rural,4.285626090581479,Covered
keonjhar,386306,Raidiha,Kanjipani,Rural,4.28633378002317,Covered
sundargarh,383606,Kaudarha,Hemgir,Rural,4.286523115190294,Covered
gajapati,413482,Pajigidi,Adava,Rural,4.286809216403804,Covered
rayagada,424714,Pedlapadar,Ambadala,Rural,4.2876591112811,Covered
kalahandi,422924,Bhandaripadar,Lanjigarh,Rural,4.288188362043394,Covered
sundargarh,383923,Thutipipal,Kinjirkela,Rural,4.288668257137053,Covered
nuapada,421856,Gatibeda,Komna,Rural,4.289114182841121,Covered
koraput,429713,Damanga,Padua,Rural,4.2892311561761725,Covered
keonjhar,387085,Raighati R F,Soso,Rural,4.289646915902863,Covered
keonjhar,386493,Khediadihi,Pandapara,Rural,4.290213020736593,Covered
ganjam,410917,Dimabadi,Badagada,Rural,4.291952948697372,Covered
ganjam,410853,Balasi,Surada,Rural,4.291952948697372,Covered
sundargarh,383786,Baghenipani,Dharuadihi,Rural,4.291988460422815,Covered
kendrapara,395604,Gunthala,Rajkanika,Rural,4.292788476566917,Covered
cuttack,398611,Bhanarpal,Kanpur,Rural,4.293684176088735,Covered
cuttack,398610,Similibola,Kanpur,Rural,4.293684176088735,Covered
balangir,420716,Anakamara,Khaprakhol,Rural,4.293957191613728,Covered
nuapada,421974,Barapadar,Khariar,Rural,4.295294861542284,Covered
cuttack,398559,Bhuska,Narasinghpur,Rural,4.295941998525782,Covered
bargarh,380065,Jogimatha,Gaisilet,Rural,4.296839671415709,Covered
malkangiri,430757,R F Beat,Paparmetla,Rural,4.296981225171447,Covered
sambalpur,382004,Kudankhol,Jamankira,Rural,4.297095203902201,Covered
balangir,421332,Asurla,Bangomunda,Rural,4.297369048660047,Covered
keonjhar,386104,Ambadahara,Kendujhar Sadar,Rural,4.297576548546828,Covered
nuapada,422170,Chitarama,Sinapali,Rural,4.298318190035714,Covered
mayurbhanj,389078,Jogendradasjot,Baripada Sadar,Rural,4.299094607850715,Covered
anugul,404532,Balikhaman,Handapa,Rural,4.299555338019825,Covered
anugul,404406,Nuapada,Chhendipada,Rural,4.30022054239049,Covered
sambalpur,381623,Lepeikani,Kochinda,Rural,4.300562588651152,Covered
sambalpur,382535,Naktideul,Naktideul,Rural,4.301160234245724,Covered
nuapada,421935,Jagannathpali,Komna,Rural,4.303070782565452,Covered
kandhamal,415411,Jargisoru,Phulabani,Rural,4.303415757201735,Covered
kandhamal,415374,Gudabari,Phulabani,Rural,4.303415757201735,Covered
kandhamal,415372,Srambipada,Phulabani,Rural,4.303415757201735,Covered
rayagada,424624,Terimeri,Ambadala,Rural,4.3040378555679455,Covered
ganjam,410831,Sagidi,Surada,Rural,4.304076150726109,Covered
kandhamal,417357,Sugerbanda,Daringbadi,Rural,4.304119978492064,Covered
anugul,403749,Tolakapal,Kaniha,Rural,4.305315834138702,Covered
boudh,418059,Kundamal,Manamunda,Rural,4.305483227403753,Covered
nuapada,422095,Chikalchuan,Boden,Rural,4.3055310123394825,Covered
kalahandi,424375,Dalimguda,Thuamul Rampur,Rural,4.3086615986909385,Covered
balangir,421024,Jharkhamar,Saintala,Rural,4.308928399432082,Covered
kalahandi,423147,Pokhari Bandha,Biswanathpur,Rural,4.309179591225552,Covered
anugul,403933,Kandhabereni,Talcher Sadar,Rural,4.3092960733434,Covered
kalahandi,424376,Dengpharsi,Thuamul Rampur,Rural,4.310084173530608,Covered
bargarh,380898,Dulampur,Attabira,Rural,4.310838624558301,Covered
sambalpur,381673,Dantamura,Thelkoloi,Rural,4.311337500199522,Covered
